City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coos Bay,US,2022-07-28 03:45:11,43.3665,-124.2179,63.0,96,100,6.91
1,Saldanha,ZA,2022-07-28 03:47:52,-33.0117,17.9442,42.85,69,0,7.58
2,Namibe,AO,2022-07-28 03:47:53,-15.1961,12.1522,61.2,79,75,7.11
3,Curillo,CO,2022-07-28 03:47:53,1.0333,-75.9191,67.66,98,99,1.23
4,Leningradskiy,RU,2022-07-28 03:47:54,69.3833,178.4167,39.06,79,95,7.56
5,Chalus,IR,2022-07-28 03:47:54,36.655,51.4204,76.46,88,75,4.61
6,Muros,ES,2022-07-28 03:47:55,42.7762,-9.0603,61.09,83,93,1.01
7,New Norfolk,AU,2022-07-28 03:47:55,-42.7826,147.0587,52.72,70,97,3.0
8,Xiangxiang,CN,2022-07-28 03:47:55,27.7333,112.5333,98.38,43,100,3.06
9,Port Alfred,ZA,2022-07-28 03:46:57,-33.5906,26.891,63.79,82,89,20.11
10,Skelleftea,SE,2022-07-28 03:47:56,64.7507,20.9528,52.16,95,100,10.36
11,Airai,TL,2022-07-28 03:42:59,-8.9266,125.4092,71.01,46,13,5.44
12,Kuusamo,FI,2022-07-28 03:47:57,65.9667,29.1833,55.44,94,100,6.91
13,Rikitea,PF,2022-07-28 03:46:49,-23.1203,-134.9692,74.03,67,100,17.85
14,Hermanus,ZA,2022-07-28 03:47:57,-34.4187,19.2345,53.8,79,0,12.21
15,Limenaria,GR,2022-07-28 03:47:58,40.6261,24.5786,80.94,61,0,7.96
16,Mataura,NZ,2022-07-28 03:47:18,-46.1927,168.8643,47.48,98,100,3.78
17,Punta Arenas,CL,2022-07-28 03:47:59,-53.15,-70.9167,39.31,75,20,26.46
18,Adrar,MR,2022-07-28 03:47:59,20.5022,-10.0711,94.12,9,0,8.81
19,Karratha,AU,2022-07-28 03:45:18,-20.7377,116.8463,79.86,36,0,18.14
20,Yantal,RU,2022-07-28 03:48:00,56.8471,105.2542,56.52,98,100,10.47
21,Barrow,US,2022-07-28 03:48:00,71.2906,-156.7887,33.82,100,100,13.8
22,Ushuaia,AR,2022-07-28 03:46:51,-54.8,-68.3,40.66,81,75,18.41
23,Busselton,AU,2022-07-28 03:47:20,-33.65,115.3333,64.51,68,27,12.55
24,Upernavik,GL,2022-07-28 03:46:21,72.7868,-56.1549,40.32,85,100,1.72
25,Tura,IN,2022-07-28 03:48:01,25.5198,90.2201,81.66,83,44,4.18
26,Katsuura,JP,2022-07-28 03:44:17,35.1333,140.3,83.41,78,56,11.65
27,Puerto Ayora,EC,2022-07-28 03:47:11,-0.7393,-90.3518,68.56,98,98,5.99
28,Nome,US,2022-07-28 03:48:02,64.5011,-165.4064,54.16,82,75,12.66
29,Paamiut,GL,2022-07-28 03:48:03,61.994,-49.6678,42.39,90,59,15.59
30,Mar Del Plata,AR,2022-07-28 03:46:22,-38.0023,-57.5575,51.1,57,100,15.99
31,Vryburg,ZA,2022-07-28 03:48:03,-26.9566,24.7284,56.53,55,100,10.56
32,Saskylakh,RU,2022-07-28 03:48:04,71.9167,114.0833,74.19,51,84,8.21
33,Vaini,TO,2022-07-28 03:46:53,-21.2,-175.2,78.96,83,20,10.36
34,Mehamn,NO,2022-07-28 03:44:18,71.0357,27.8492,49.95,93,75,20.71
35,Grindavik,IS,2022-07-28 03:46:26,63.8424,-22.4338,49.95,93,75,23.02
36,Avarua,CK,2022-07-28 03:48:05,-21.2078,-159.775,77.05,69,40,12.66
37,Hobart,AU,2022-07-28 03:44:42,-42.8794,147.3294,53.06,63,93,1.99
38,Geraldton,AU,2022-07-28 03:45:25,-28.7667,114.6,70.21,68,40,8.05
39,Atuona,PF,2022-07-28 03:45:22,-9.8,-139.0333,77.63,73,21,24.16
