City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
3,Gizo,SB,81.63,-8.103,156.8419,broken clouds,Imagination Island
6,Hithadhoo,MV,81.82,-0.6,73.0833,overcast clouds,Scoop Guest House
7,Zaragoza,ES,86.45,41.6561,-0.8773,scattered clouds,Hotel Goya
11,Awjilah,LY,81.97,29.1081,21.2869,clear sky,المنزل
12,Butaritari,KI,82.15,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
13,Victoria,HK,84.38,22.2855,114.1577,overcast clouds,Mini Central
18,Chizhou,CN,80.22,30.6578,117.4831,broken clouds,Home Inn Chizhou Qiupu West Road Xiushanmen Square
25,Saint-Georges,GD,82.74,12.0564,-61.7485,clear sky,Radisson Grenada Beach Resort
35,Hilo,US,89.28,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
40,Muli,MV,81.34,2.9167,73.5667,overcast clouds,Medhufushi Island Resort
42,Katsuura,JP,80.58,35.1333,140.3,clear sky,Katsuura Hotel Mikazuki
47,Lebanon,US,82.45,36.2081,-86.2911,clear sky,Hampton Inn & Suites Lebanon
56,Georgetown,MY,81.9,5.4112,100.3354,few clouds,Cititel Penang
58,Jamestown,US,87.19,42.097,-79.2353,clear sky,Hampton Inn & Suites Jamestown
70,Fort-Shevchenko,KZ,83.34,44.5086,50.263,overcast clouds,Oasis hotel Bautino
77,Lompoc,US,87.01,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
93,Bonfim,BR,89.55,3.0833,-59.95,broken clouds,
104,Roma,US,89.69,43.2128,-75.4557,few clouds,Wingate By Wyndham Rome
105,Key Largo,US,87.8,25.0865,-80.4473,overcast clouds,Bayside Inn Key Largo
109,Kapaa,US,84.18,22.0752,-159.319,overcast clouds,Sheraton Kauai Coconut Beach Resort Hotel
113,Salinas,US,86.99,36.6777,-121.6555,clear sky,Laurel Inn & Conference Center
115,Ito,JP,82.69,34.9667,139.0833,few clouds,Ito Kowakien
119,Jieshi,CN,81.41,22.8134,115.8257,overcast clouds,Yuehai Hotel
121,Hami,CN,84.04,42.8,93.45,scattered clouds,Laoyutang Resort
