City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Gambela,ET,2022-08-07 21:15:48,8.25,34.5833,68.76,96,99,3.11,light rain
1,Cidreira,BR,2022-08-07 21:15:48,-30.1811,-50.2056,58.77,88,100,12.21,overcast clouds
2,Tura,IN,2022-08-07 21:15:49,25.5198,90.2201,74.75,97,99,4.0,moderate rain
3,Gizo,SB,2022-08-07 21:15:49,-8.103,156.8419,81.63,75,67,3.96,broken clouds
4,Punta Arenas,CL,2022-08-07 21:11:10,-53.15,-70.9167,39.31,75,20,10.36,few clouds
5,Tasiilaq,GL,2022-08-07 21:15:50,65.6145,-37.6368,46.56,95,100,7.78,light rain
6,Hithadhoo,MV,2022-08-07 21:15:50,-0.6,73.0833,81.82,70,100,4.43,overcast clouds
7,Zaragoza,ES,2022-08-07 21:15:51,41.6561,-0.8773,86.45,43,40,13.8,scattered clouds
8,Nehe,CN,2022-08-07 21:15:51,48.4833,124.8333,54.68,61,0,8.61,clear sky
9,Whitianga,NZ,2022-08-07 21:15:52,-36.8333,175.7,53.44,89,20,3.04,few clouds
10,Atuona,PF,2022-08-07 21:15:52,-9.8,-139.0333,76.91,70,93,17.83,overcast clouds
11,Awjilah,LY,2022-08-07 21:15:53,29.1081,21.2869,81.97,50,0,14.58,clear sky
12,Butaritari,KI,2022-08-07 21:15:53,3.0707,172.7902,82.15,71,100,15.93,overcast clouds
13,Victoria,HK,2022-08-07 21:15:24,22.2855,114.1577,84.38,88,97,4.0,overcast clouds
14,Clyde River,CA,2022-08-07 21:15:54,70.4692,-68.5914,43.03,87,100,3.44,overcast clouds
15,High Level,CA,2022-08-07 21:15:54,58.5169,-117.136,72.14,42,92,9.48,overcast clouds
16,Dikson,RU,2022-08-07 21:11:09,73.5069,80.5464,42.1,100,100,9.44,light rain
17,Grindavik,IS,2022-08-07 21:15:55,63.8424,-22.4338,52.27,87,75,14.97,broken clouds
18,Chizhou,CN,2022-08-07 21:15:55,30.6578,117.4831,80.22,77,80,5.32,broken clouds
19,Norman Wells,CA,2022-08-07 21:15:56,65.282,-126.8329,63.7,52,100,6.04,overcast clouds
20,Hermanus,ZA,2022-08-07 21:12:00,-34.4187,19.2345,50.81,84,71,2.82,broken clouds
21,Rikitea,PF,2022-08-07 21:15:56,-23.1203,-134.9692,72.48,67,100,32.46,overcast clouds
22,Arraial Do Cabo,BR,2022-08-07 21:15:57,-22.9661,-42.0278,73.36,83,100,4.61,light rain
23,Hobart,AU,2022-08-07 21:13:05,-42.8794,147.3294,35.06,96,20,4.61,few clouds
24,Los Llanos De Aridane,ES,2022-08-07 21:15:58,28.6585,-17.9182,69.55,78,100,14.97,overcast clouds
25,Saint-Georges,GD,2022-08-07 21:12:00,12.0564,-61.7485,82.74,76,6,10.25,clear sky
26,Sisimiut,GL,2022-08-07 21:15:58,66.9395,-53.6735,40.57,96,100,6.67,overcast clouds
27,Souillac,MU,2022-08-07 21:12:42,-20.5167,57.5167,69.04,81,13,7.9,few clouds
28,Tiksi,RU,2022-08-07 21:15:59,71.6872,128.8694,46.22,96,100,3.89,light rain
29,Tuktoyaktuk,CA,2022-08-07 21:15:59,69.4541,-133.0374,48.2,71,100,4.61,overcast clouds
30,Puerto Ayora,EC,2022-08-07 21:16:00,-0.7393,-90.3518,76.96,88,62,5.01,broken clouds
31,Labuhan,ID,2022-08-07 21:16:00,-6.8844,112.2051,74.79,86,8,9.44,clear sky
32,Ancud,CL,2022-08-07 21:16:01,-41.8697,-73.8203,46.22,69,14,1.07,few clouds
33,Porto Novo,BJ,2022-08-07 21:16:01,6.4965,2.6036,76.82,83,33,9.13,scattered clouds
34,Mataura,NZ,2022-08-07 21:16:02,-46.1927,168.8643,34.48,85,10,6.38,clear sky
35,Hilo,US,2022-08-07 21:16:02,19.7297,-155.09,89.28,70,100,7.0,overcast clouds
36,Pathein,MM,2022-08-07 21:16:02,16.7833,94.7333,75.81,96,100,8.46,light rain
37,Albany,US,2022-08-07 21:14:00,42.6001,-73.9662,90.57,62,68,8.39,broken clouds
38,Atambua,ID,2022-08-07 21:16:03,-9.1061,124.8925,69.17,86,15,3.83,few clouds
39,Saskylakh,RU,2022-08-07 21:16:03,71.9167,114.0833,48.25,70,100,3.83,overcast clouds
40,Muli,MV,2022-08-07 21:16:04,2.9167,73.5667,81.34,77,98,12.91,overcast clouds
41,Wajid,SO,2022-08-07 21:16:04,3.8093,43.2471,71.89,57,31,22.39,scattered clouds
42,Katsuura,JP,2022-08-07 21:16:05,35.1333,140.3,80.58,88,5,12.88,clear sky
43,Thompson,CA,2022-08-07 21:15:28,55.7435,-97.8558,77.16,38,75,17.27,broken clouds
44,Madawaska,US,2022-08-07 21:16:05,47.3561,-68.3288,72.7,78,100,9.22,overcast clouds
45,Ostrovnoy,RU,2022-08-07 21:16:06,68.0531,39.5131,52.09,75,100,19.15,overcast clouds
46,Taoudenni,ML,2022-08-07 21:17:06,22.6783,-3.9836,104.27,9,1,9.53,clear sky
47,Lebanon,US,2022-08-07 21:17:07,36.2081,-86.2911,82.45,88,0,4.61,clear sky
48,Ushuaia,AR,2022-08-07 21:16:17,-54.8,-68.3,38.86,60,0,4.61,clear sky
49,Krasnoarmeysk,RU,2022-08-07 21:17:07,51.0239,45.6969,71.35,45,76,6.96,broken clouds
50,Mar Del Plata,AR,2022-08-07 21:14:33,-38.0023,-57.5575,47.08,82,40,6.91,scattered clouds
51,Provideniya,RU,2022-08-07 21:17:08,64.3833,-173.3,44.37,87,100,20.13,overcast clouds
52,Ponta Do Sol,PT,2022-08-07 21:17:09,32.6667,-17.1,72.72,81,1,3.42,clear sky
53,Codrington,AU,2022-08-07 21:17:09,-38.2667,141.9667,37.69,90,7,7.54,clear sky
54,Sistranda,NO,2022-08-07 21:17:10,63.7256,8.834,51.76,77,42,9.26,scattered clouds
55,Kodiak,US,2022-08-07 21:17:10,57.79,-152.4072,62.11,55,0,5.75,clear sky
56,Georgetown,MY,2022-08-07 21:12:38,5.4112,100.3354,81.9,88,20,0.0,few clouds
57,Port Elizabeth,ZA,2022-08-07 21:17:11,-33.918,25.5701,61.32,99,100,10.36,light intensity drizzle
58,Jamestown,US,2022-08-07 21:13:12,42.097,-79.2353,87.19,46,0,10.36,clear sky
59,Faanui,PF,2022-08-07 21:17:12,-16.4833,-151.75,76.98,71,78,25.03,broken clouds
60,Bambous Virieux,MU,2022-08-07 21:17:12,-20.3428,57.7575,67.21,94,75,5.75,broken clouds
61,New Norfolk,AU,2022-08-07 21:17:13,-42.7826,147.0587,34.72,87,13,2.59,few clouds
62,Constitucion,CL,2022-08-07 21:17:13,-35.3333,-72.4167,52.52,78,23,9.8,few clouds
63,Lavrentiya,RU,2022-08-07 21:17:13,65.5833,-171.0,36.9,89,100,16.62,moderate rain
64,Barrow,US,2022-08-07 21:16:01,71.2906,-156.7887,44.62,70,100,5.75,overcast clouds
65,Lebu,CL,2022-08-07 21:17:14,-37.6167,-73.65,47.1,85,100,9.51,overcast clouds
66,Potosi,BO,2022-08-07 21:17:15,-19.5836,-65.7531,47.57,7,100,15.79,overcast clouds
67,Hobyo,SO,2022-08-07 21:17:15,5.3505,48.5268,75.33,83,1,27.45,clear sky
68,Cape Town,ZA,2022-08-07 21:12:24,-33.9258,18.4232,59.11,86,51,3.0,broken clouds
69,Bredasdorp,ZA,2022-08-07 21:17:16,-34.5322,20.0403,53.42,95,13,5.01,few clouds
70,Fort-Shevchenko,KZ,2022-08-07 21:17:16,44.5086,50.263,83.34,37,100,18.34,overcast clouds
71,Mount Gambier,AU,2022-08-07 21:17:17,-37.8333,140.7667,39.2,91,10,4.47,clear sky
72,Qaanaaq,GL,2022-08-07 21:17:17,77.484,-69.3632,44.91,53,5,4.9,clear sky
73,Aklavik,CA,2022-08-07 21:17:17,68.2191,-135.0107,49.87,66,98,3.09,overcast clouds
74,Bluff,NZ,2022-08-07 21:17:18,-46.6,168.3333,34.81,64,45,19.35,scattered clouds
75,Broken Hill,AU,2022-08-07 21:17:18,-31.95,141.4333,44.94,75,6,7.7,clear sky
76,Novoagansk,RU,2022-08-07 21:17:19,61.9449,76.6625,57.33,74,93,0.34,overcast clouds
77,Lompoc,US,2022-08-07 21:17:22,34.6391,-120.4579,87.01,63,0,27.0,clear sky
78,Busselton,AU,2022-08-07 21:17:23,-33.65,115.3333,57.33,75,100,21.47,overcast clouds
79,Alice Springs,AU,2022-08-07 21:17:23,-23.7,133.8833,33.35,69,0,0.0,clear sky
80,Bethel,US,2022-08-07 21:17:23,41.3712,-73.414,92.05,62,0,14.97,clear sky
81,Saint-Augustin,CA,2022-08-07 21:17:24,51.226,-58.6502,73.54,73,100,22.15,overcast clouds
82,Severo-Kurilsk,RU,2022-08-07 21:17:24,50.6789,156.125,56.7,91,21,7.29,few clouds
83,Genhe,CN,2022-08-07 21:17:25,50.7833,121.5167,44.87,88,9,5.14,clear sky
84,Tanout,NE,2022-08-07 21:17:25,14.9709,8.8879,90.01,44,100,9.48,overcast clouds
85,Iqaluit,CA,2022-08-07 21:17:25,63.7506,-68.5145,45.7,87,99,8.01,overcast clouds
86,Kamaishi,JP,2022-08-07 21:17:26,39.2667,141.8833,75.31,90,97,6.82,overcast clouds
87,Dicabisagan,PH,2022-08-07 21:17:26,17.0818,122.4157,78.82,86,100,9.04,overcast clouds
88,Vaini,TO,2022-08-07 21:17:27,-21.2,-175.2,78.96,89,40,8.05,scattered clouds
89,Pataias,PT,2022-08-07 21:18:27,39.6698,-8.9958,65.71,85,0,3.29,clear sky
90,Lumatil,PH,2022-08-07 21:18:28,5.8747,124.8883,78.33,84,100,6.17,overcast clouds
91,Port Alfred,ZA,2022-08-07 21:18:28,-33.5906,26.891,62.19,97,100,5.01,light rain
92,Do Gonbadan,IR,2022-08-07 21:18:29,30.3586,50.7981,91.49,49,72,0.0,broken clouds
93,Bonfim,BR,2022-08-07 21:17:15,3.0833,-59.95,89.55,60,84,1.77,broken clouds
