City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Altay,CN,2022-07-27 17:02:16,47.8667,88.1167,66.56,38,12,6.64
1,Saint George,US,2022-07-27 17:02:16,37.1041,-113.5841,87.64,55,0,3.0
2,Avera,US,2022-07-27 17:02:17,33.194,-82.5271,91.54,39,81,8.25
3,Vaini,TO,2022-07-27 17:02:18,-21.2,-175.2,74.77,67,34,14.5
4,Atuona,PF,2022-07-27 16:58:40,-9.8,-139.0333,77.25,67,50,21.45
5,Ostrovnoy,RU,2022-07-27 17:02:19,68.0531,39.5131,66.06,75,100,19.6
6,Esperance,AU,2022-07-27 17:02:19,-33.8667,121.9,51.64,89,84,11.45
7,Chokurdakh,RU,2022-07-27 17:02:20,70.6333,147.9167,44.22,64,87,10.78
8,Cape Town,ZA,2022-07-27 17:02:20,-33.9258,18.4232,62.35,75,0,8.01
9,Albany,US,2022-07-27 17:01:16,42.6001,-73.9662,81.05,50,99,1.01
10,Carlsbad,US,2022-07-27 16:57:31,33.1581,-117.3506,85.71,75,26,4.0
11,Cabo San Lucas,MX,2022-07-27 16:59:55,22.8909,-109.9124,92.61,78,32,5.99
12,Alekseyevka,RU,2022-07-27 17:02:22,50.6309,38.6903,74.77,61,77,1.16
13,Alofi,NU,2022-07-27 17:02:22,-19.0595,-169.9187,75.74,76,10,18.21
14,Norman Wells,CA,2022-07-27 17:02:23,65.282,-126.8329,61.72,40,53,2.66
15,Yinchuan,CN,2022-07-27 17:02:23,38.4681,106.2731,77.72,38,3,8.7
16,Mataura,NZ,2022-07-27 17:02:23,-46.1927,168.8643,47.48,99,100,1.5
17,Codrington,AU,2022-07-27 17:02:24,-38.2667,141.9667,50.52,75,92,9.53
18,Shelburne,CA,2022-07-27 17:00:59,44.0787,-80.2041,78.76,68,93,10.45
19,Vao,NC,2022-07-27 17:02:25,-22.6667,167.4833,69.53,72,0,9.84
20,Jiangyou,CN,2022-07-27 17:02:25,31.7667,104.7167,75.96,83,12,3.51
21,Nanortalik,GL,2022-07-27 17:02:26,60.1432,-45.2371,44.8,84,70,7.02
22,San Lorenzo,PY,2022-07-27 17:02:26,-25.3333,-57.5333,90.81,27,29,9.62
23,Rikitea,PF,2022-07-27 17:02:27,-23.1203,-134.9692,74.03,72,97,13.02
24,Pantai Remis,MY,2022-07-27 17:02:27,4.4557,100.6288,77.9,87,94,4.05
25,Nola,IT,2022-07-27 17:02:28,40.922,14.5329,88.39,56,0,7.83
26,Longyearbyen,SJ,2022-07-27 17:02:28,78.2186,15.6401,51.64,71,40,19.57
27,Kimberley,ZA,2022-07-27 17:00:58,-28.7323,24.7623,64.54,30,60,10.22
28,Pevek,RU,2022-07-27 17:02:28,69.7008,170.3133,33.8,90,100,3.11
29,Puerto Ayora,EC,2022-07-27 17:02:29,-0.7393,-90.3518,71.55,91,88,10.0
30,Demak,ID,2022-07-27 17:02:29,-6.8909,110.6396,80.56,79,62,4.56
31,Jeremie,HT,2022-07-27 17:02:30,18.65,-74.1167,85.77,63,9,9.19
32,Hermanus,ZA,2022-07-27 16:58:50,-34.4187,19.2345,55.8,74,0,13.15
33,Kodiak,US,2022-07-27 17:02:31,57.79,-152.4072,50.68,69,0,9.26
34,Barrow,US,2022-07-27 17:02:31,71.2906,-156.7887,32.58,100,100,13.38
35,Hilo,US,2022-07-27 16:58:47,19.7297,-155.09,82.27,98,53,3.0
36,Georgetown,MY,2022-07-27 17:00:12,5.4112,100.3354,80.53,87,20,8.05
37,Avarua,CK,2022-07-27 17:02:33,-21.2078,-159.775,69.85,83,75,9.22
38,Ushuaia,AR,2022-07-27 17:02:33,-54.8,-68.3,37.58,83,100,7.27
39,Khash,IR,2022-07-27 17:02:33,28.2211,61.2158,79.34,60,99,6.62
40,Punta Arenas,CL,2022-07-27 17:02:34,-53.15,-70.9167,41.11,65,100,22.24
41,Moose Factory,CA,2022-07-27 17:02:34,51.2585,-80.6094,67.98,83,75,12.66
42,Provideniya,RU,2022-07-27 16:58:51,64.3833,-173.3,45.12,79,100,6.98
43,Hobart,AU,2022-07-27 17:02:35,-42.8794,147.3294,48.25,81,40,1.01
44,Gazimurskiy Zavod,RU,2022-07-27 17:02:35,51.5461,118.3266,58.89,95,78,4.05
45,Nuuk,GL,2022-07-27 16:59:59,64.1835,-51.7216,47.88,81,6,5.01
46,Athol,US,2022-07-27 17:02:36,42.5959,-72.2268,83.37,56,75,4.88
47,Grindavik,IS,2022-07-27 17:03:36,63.8424,-22.4338,52.27,100,100,20.71
48,Kapaa,US,2022-07-27 17:03:37,22.0752,-159.319,77.32,87,75,12.66
49,Qaanaaq,GL,2022-07-27 17:03:37,77.484,-69.3632,41.11,78,80,6.82
50,Souillac,MU,2022-07-27 17:00:12,-20.5167,57.5167,70.36,81,17,11.16
51,Severodvinsk,RU,2022-07-27 17:03:38,64.5635,39.8302,68.11,72,99,11.48
52,Hithadhoo,MV,2022-07-27 17:03:38,-0.6,73.0833,81.23,77,100,8.79
53,Lodja,CD,2022-07-27 17:03:38,-3.4833,23.4333,85.87,34,60,1.5
54,Singleton,AU,2022-07-27 17:03:39,-32.5667,151.1833,46.98,76,76,5.99
55,Bluff,NZ,2022-07-27 17:03:39,-46.6,168.3333,47.8,88,100,10.11
56,Portland,US,2022-07-27 17:03:30,45.5234,-122.6762,81.46,62,61,3.0
57,Vestmannaeyjar,IS,2022-07-27 17:03:12,63.4427,-20.2734,52.79,100,100,17.27
58,Mar Del Plata,AR,2022-07-27 17:03:40,-38.0023,-57.5575,57.09,98,100,10.0
59,Kununurra,AU,2022-07-27 17:03:41,-15.7667,128.7333,57.18,67,57,0.0
60,Camacupa,AO,2022-07-27 17:03:41,-12.0167,17.4833,67.37,20,86,1.54
61,Banda Aceh,ID,2022-07-27 17:03:41,5.5577,95.3222,79.05,81,100,6.76
62,Dikson,RU,2022-07-27 17:03:42,73.5069,80.5464,40.93,96,100,14.5
63,Kaitangata,NZ,2022-07-27 17:03:42,-46.2817,169.8464,44.38,95,100,5.01
64,Serta,PT,2022-07-27 17:03:43,39.8085,-8.0988,82.94,25,0,16.2
65,Luderitz,NA,2022-07-27 17:03:43,-26.6481,15.1594,58.66,70,0,9.8
66,Saskylakh,RU,2022-07-27 17:03:43,71.9167,114.0833,70.25,77,63,7.18
67,Husavik,IS,2022-07-27 17:03:44,66.0449,-17.3389,61.74,66,100,19.51
68,Elko,US,2022-07-27 17:02:44,41.0002,-115.5012,86.74,19,7,4.0
69,Naze,JP,2022-07-27 17:03:45,28.3667,129.4833,79.99,81,49,10.45
70,Richards Bay,ZA,2022-07-27 17:03:45,-28.783,32.0377,67.17,66,6,13.06
71,Bethel,US,2022-07-27 17:00:44,41.3712,-73.414,86.36,52,95,5.57
72,Port Alfred,ZA,2022-07-27 17:02:41,-33.5906,26.891,60.19,86,100,1.01
73,Rudbar,AF,2022-07-27 17:03:46,30.15,62.6,95.74,38,27,15.41
74,Carnarvon,AU,2022-07-27 17:03:46,-24.8667,113.6333,70.23,55,100,1.54
75,Grand Gaube,MU,2022-07-27 17:03:47,-20.0064,57.6608,70.38,76,7,5.01
76,Ambon,ID,2022-07-27 17:03:48,-3.6954,128.1814,80.74,83,75,4.61
77,Luganville,VU,2022-07-27 17:03:48,-15.5333,167.1667,77.67,86,92,4.34
78,Cairns,AU,2022-07-27 17:03:00,-16.9167,145.7667,67.95,80,71,10.36
79,Oktyabrskoye,RU,2022-07-27 17:03:49,43.0645,44.7417,60.94,94,100,4.47
80,Aklavik,CA,2022-07-27 17:03:49,68.2191,-135.0107,56.75,47,70,18.54
81,Tariba,VE,2022-07-27 17:03:49,7.8188,-72.2243,77.58,64,83,4.07
82,Huancabamba,PE,2022-07-27 17:03:50,-5.2386,-79.4506,68.14,65,63,2.15
83,Bengkulu,ID,2022-07-27 17:03:50,-3.8004,102.2655,76.48,84,24,3.71
84,Port Elizabeth,ZA,2022-07-27 17:03:51,-33.918,25.5701,59.31,87,79,3.0
85,Tuktoyaktuk,CA,2022-07-27 17:03:18,69.4541,-133.0374,46.53,81,82,5.57
86,Lavrentiya,RU,2022-07-27 17:03:52,65.5833,-171.0,41.18,79,71,4.9
87,Ancud,CL,2022-07-27 17:03:52,-41.8697,-73.8203,53.22,78,45,2.3
88,Smolenka,RU,2022-07-27 17:03:52,52.1352,113.4974,55.47,100,100,8.95
89,Butaritari,KI,2022-07-27 17:04:53,3.0707,172.7902,81.54,75,11,16.75
90,Arraial Do Cabo,BR,2022-07-27 17:04:03,-22.9661,-42.0278,76.86,65,0,20.71
91,Kavaratti,IN,2022-07-27 17:00:08,10.5669,72.642,80.94,80,57,18.7
92,Busselton,AU,2022-07-27 17:01:44,-33.65,115.3333,54.0,77,83,9.48
93,Tiksi,RU,2022-07-27 17:01:26,71.6872,128.8694,50.59,90,83,5.55
94,Nyurba,RU,2022-07-27 17:04:54,63.2842,118.3319,69.1,88,66,4.32
95,Samarai,PG,2022-07-27 17:04:55,-10.6167,150.6667,78.06,86,100,16.55
96,Hay River,CA,2022-07-27 17:04:55,60.8156,-115.7999,69.15,53,45,4.07
97,San Miguel,SV,2022-07-27 17:04:55,13.4833,-88.1833,88.97,55,40,2.84
98,Lagoa,PT,2022-07-27 17:04:56,39.05,-27.9833,73.62,90,77,8.72
99,Cherskiy,RU,2022-07-27 17:04:56,68.75,161.3,40.01,76,9,4.52
100,Port Lincoln,AU,2022-07-27 17:04:57,-34.7333,135.8667,50.58,86,48,7.96
101,Airai,TL,2022-07-27 17:04:57,-8.9266,125.4092,51.96,80,58,4.18
102,Changtu,CN,2022-07-27 17:04:58,42.7788,124.0955,73.44,91,85,3.58
103,Werda,BW,2022-07-27 17:04:58,-25.2667,23.2833,68.97,26,23,8.63
104,Fairbanks,US,2022-07-27 17:02:56,64.8378,-147.7164,51.1,82,100,4.61
105,Ilulissat,GL,2022-07-27 17:04:59,69.2167,-51.1,44.62,87,75,4.61
106,Tautira,PF,2022-07-27 17:04:59,-17.7333,-149.15,76.75,77,72,21.92
107,Rimouski,CA,2022-07-27 17:04:02,48.4488,-68.524,64.65,68,53,6.73
108,Cotusca,RO,2022-07-27 17:05:00,48.1333,26.85,73.58,47,11,8.16
109,Torbay,CA,2022-07-27 17:03:22,47.6666,-52.7314,71.28,90,100,1.01
110,Kupang,ID,2022-07-27 17:05:00,-10.1667,123.5833,75.24,74,39,14.58
111,Saint-Louis,SN,2022-07-27 17:05:01,16.3333,-15.0,96.12,42,68,20.02
112,Bredasdorp,ZA,2022-07-27 17:05:01,-34.5322,20.0403,51.1,86,0,7.7
113,Vitim,RU,2022-07-27 17:05:02,59.4511,112.5578,66.45,99,100,1.39
114,Berlevag,NO,2022-07-27 17:05:03,70.8578,29.0864,67.8,100,100,6.91
115,La Ronge,CA,2022-07-27 17:05:03,55.1001,-105.2842,63.01,50,9,5.88
116,Beringovskiy,RU,2022-07-27 17:05:04,63.05,179.3167,46.92,89,72,2.98
117,New Norfolk,AU,2022-07-27 17:01:27,-42.7826,147.0587,47.91,77,94,1.99
118,Edendale,ZA,2022-07-27 17:05:05,-29.6528,30.3147,57.29,84,94,1.43
119,Ponta Do Sol,PT,2022-07-27 17:05:05,32.6667,-17.1,81.01,70,2,3.87
120,Sarangani,PH,2022-07-27 17:05:06,5.4033,125.4636,83.5,72,97,5.3
121,Jamestown,US,2022-07-27 17:03:17,42.097,-79.2353,75.94,51,100,8.05
122,Amuntai,ID,2022-07-27 17:05:06,-2.4177,115.2494,73.42,98,99,0.96
123,San Patricio,US,2022-07-27 17:05:07,28.017,-97.5169,92.16,46,100,12.5
124,Igrim,RU,2022-07-27 17:05:07,63.1906,64.4162,58.89,57,6,4.83
125,Muros,ES,2022-07-27 17:05:08,42.7762,-9.0603,83.68,45,10,16.26
126,East London,ZA,2022-07-27 17:00:33,-33.0153,27.9116,65.19,76,65,10.56
127,Onguday,RU,2022-07-27 17:05:08,50.75,86.15,55.0,84,71,1.88
128,Yellowknife,CA,2022-07-27 17:00:55,62.456,-114.3525,64.42,55,94,3.8
129,Tahoua,NE,2022-07-27 17:05:09,14.8888,5.2692,95.47,36,28,14.67
130,Cartagena,CO,2022-07-27 17:05:10,10.3997,-75.5144,87.42,66,40,8.05
131,Juegang,CN,2022-07-27 17:05:11,32.3174,121.1855,83.91,94,5,5.26
132,Calvinia,ZA,2022-07-27 17:06:11,-31.4707,19.776,55.92,55,1,6.87
133,Marzuq,YE,2022-07-27 17:06:12,14.4,46.4667,83.66,48,79,16.93
